pos[0]=new Point(-5.0,-5.0);pos[1]=new Point(5.0,-5.0);pos[2]=new Point(0,5.0); while range is 5.5,  the probability of distance i is (i/range)^2*range
300 2 3
2.697557099395263 7.16450095947096  2
-5.262707866943495 -4.9327438924601585  0
-4.995178336204289 -4.993791529550395  0
-4.998904712710561 -5.015743837124698  0
-0.018480071560053372 4.986740762218089  2
1.9987784076044115 8.771089370325805  2
-0.005590332699608343 4.855547341465962  2
-0.006432787339506694 4.965567232699299  2
-5.079105350699718 -4.389175152618462  0
1.5121044140094724 4.16210338395048  2
7.76559111195986 -3.6453156688113544  1
5.903154475959075 -5.736035867214298  1
0.0780963753982887 5.3091826991815285  2
4.89342621103048 -4.96880085073119  1
-4.937920932954901 -4.357163099872732  0
-3.9469897607298643 -5.735523430385954  0
-1.2871262087234312 5.1451500280414075  2
0.3599193151894199 4.635570720115365  2
5.027143908752433 -4.9900306219025055  1
5.2324448526786504 -5.4115850143964  1
-2.938984444718232 -1.9606075079738106  0
-1.1577925900855752 6.834491045734305  2
5.789337870786738 -1.3466132437278655  1
-5.106768790485321 -5.20462169508432  0
-5.213516833633943 -5.074667319747038  0
3.8069590570939957 -4.39896891063318  1
2.346794832182701 5.390128977152956  2
-6.162651998162165 -4.9957989695704335  0
-1.188381686702131 4.665043075676253  2
-5.7535291030803 -4.5153624275557345  0
7.136063498329047 -6.806268193902824  1
5.541725491370485 -5.3999118750696855  1
-3.9442769985710906 -1.343013024819344  0
4.907702099171378 -5.028762559241529  1
-3.5581402362607895 -5.146714463001934  0
4.553597540390044 -5.05875442995851  1
2.2936800109893327 -1.633891144565558  1
3.5256746803232946 -1.99443365460069  1
1.7786440298493147E-4 4.999959854371504  2
-5.002293166031455 -4.996328923338991  0
1.2160090339827319 6.927686452541927  2
-0.16246820303874956 5.3649463825908  2
0.6864494977871614 4.114788714480172  2
4.993747556588629 -5.0081342255762005  1
4.552484700913408 -8.328554735911135  1
-4.360180016237483 -5.022471419367135  0
-7.236587490074208 -3.15411507934484  0
2.713703111979579 8.096459887966162  2
-5.918694088595212 -5.424282752695685  0
-4.7386493972829395 -7.7622974269384155  0
4.072382396122573 -3.399789718270452  1
0.1073226168010081 5.19642256280516  2
-1.8811834269734509 7.309784079160034  2
-1.4556741522088705 2.9214452331009064  2
5.188731288215353 -5.186095481113194  1
5.395756229935446 -4.246726624644718  1
-0.4668358398782464 2.58400848389179  2
4.983272491550807 -4.990396635965077  1
5.599406362893145 -2.398821639299195  1
0.9726461517161661 6.287337444049326  2
0.33434339211072 3.5407978449109234  2
-5.0788249346428325 -4.416793871957105  0
5.071617100316327 -5.1120593697597725  1
4.992119155405053 -5.000555861370633  1
5.092317143455417 -5.69013185894833  1
5.3535412079256925 -6.832717343469448  1
-2.0089850122695583 4.756909512453882  2
4.526309867014147 -6.968323745353633  1
6.2112816964797215 -3.8316829837747157  1
0.39351658718745114 1.892858851553112  2
-3.935372119171049 -1.725461319894325  0
-3.7954057875637415 -6.150811156020309  0
5.3378075055952365 -4.857524696937023  1
6.15228765901881 -6.044040905814891  1
-0.06428248216132622 4.977764750446716  2
-5.003326164917878 -5.083137627025115  0
0.8672255080663994 1.9087315986827882  2
4.329864422499301 -1.8916123860552099  1
1.168484974994649 8.625407286827283  2
-5.025393743897287 -4.579659999235652  0
5.0077182181833075 -5.022584057922919  1
0.5829301249390179 2.457791519874837  2
5.1742031251256515 -5.146962685424032  1
-1.719754859675223 4.975305925388066  2
-3.8792213965590636 -6.453185806227969  0
-0.05651293038159778 4.955982676180886  2
5.036793689295668 -4.998690467499226  1
4.20460607892311 -5.240407125056651  1
-4.964984774990175 -5.032462199445482  0
-5.021946095015246 -4.946473582514501  0
4.951235966924468 -5.391184770712258  1
5.0009332612241675 -4.99935088985285  1
-0.41371253699475646 5.056922501160947  2
-0.7792766455875925 4.843126734529658  2
-4.261974947386554 -2.6612345673793536  0
-4.23139037580446 3.845600670597686  2
-5.137579039067139 -1.2019995482308814  0
3.7381694014624114 -6.048929176036804  1
-4.911591217463371 -6.945899215596704  0
1.1749604362299122 2.941049308324829  2
5.3553519652783255 -5.007693747690245  1
7.193680881296835 -4.215652084846821  1
-4.599336047440045 -4.137422775359321  0
-5.298510372373463 -4.91544404959754  0
0.12036372455047104 5.471560928311555  2
5.341940737611381 -5.140616096131286  1
-7.124065000219456 -1.63873970886802  0
5.107114937128353 -5.2853289451517025  1
-5.166711102113641 -4.828426011140382  0
5.9055810357947625 -3.9002463631805737  1
5.2127449745682 -6.538742555697455  1
-4.928655304504162 -5.020807675999492  0
0.008557767132272045 5.0190046852613746  2
6.0172227985502085 -6.555836370207208  1
4.693750367329576 -6.904824078770048  1
-0.2537775398707536 4.956789381656538  2
0.04190113914280991 4.513137611169748  2
1.2721828839734854 6.24325329032587  2
-2.7920624551343174 -2.1293713266046916  0
5.234502409145619 -7.717849128168943  1
-5.207335539682452 -6.576296693970532  0
-5.234376532240083 -3.5460471701492358  0
-4.443013826536543 -3.865591997688322  0
4.599546880065536 -1.7381619420808434  1
-0.5133137313487728 5.3294021548250194  2
0.3992832480449482 3.5965787469279684  2
-4.966527017976252 -4.993774239518637  0
-0.18815147906291285 4.67760033143893  2
0.6503865217853079 5.121762548599521  2
-5.4981679597369 -3.156330537280404  0
0.35747528594844813 4.196797563462541  2
-7.901125155679542 -6.417799139891926  0
5.140463899220051 -4.928479878774039  1
-5.2833237001301425 -4.15417783011019  0
4.881193507877738 -4.961166291940344  1
5.454021761705422 -3.387162037165562  1
-0.8980076555992909 5.601149123009634  2
1.4198848908197668 4.826757253622177  2
0.11672131889435575 5.305904711209641  2
-1.9255880584907887 6.281749141018805  2
-5.003163890950113 -5.0215430932123555  0
6.228053782967513 -5.110327725875081  1
-5.224658170539395 -4.253727290382561  0
4.7838814671038765 -0.7490724415226309  1
0.09289767635066778 4.904738795365757  2
-4.8508853505703975 -4.487638157662942  0
-0.3906631175590598 4.559815830128183  2
-4.622221270468777 -4.189320092662407  0
5.449330579041974 -4.958387110600656  1
3.083726730841046 -5.055982946358528  1
4.753942924231403 -5.374263709411745  1
7.867284399441909 -8.146707269605779  1
-4.9630704958636125 -4.960781122497065  0
2.7661237285434543 -7.718475209446016  1
5.114053875705784 -4.251032104561479  1
-4.661535054222194 -6.264009487474273  0
8.300604526995862 -2.5088791216329893  1
-0.5799501156247648 4.809763500952579  2
1.0001025988094137 5.99631387755373  2
5.122337013111101 -5.3718157878639925  1
-2.861649024559821 -6.422919853073001  0
7.161541750025108 -8.10573508648792  1
-5.012327951664452 -5.010196270409314  0
0.02316792408599445 4.980561103461521  2
-4.163312442502817 -5.246295148894898  0
7.231585016157797 -1.3636379928814093  1
4.905801080690996 -4.747574672861214  1
4.9794821947083 -4.6195147436339274  1
5.032701687706776 -5.029743242223685  1
2.3816820395288683 -3.7908675252367248  1
-3.9227394456173523 -5.258861893604198  0
5.023794098934592 -5.0264217516251  1
3.9947006130217417 -6.205065829552701  1
2.9259537730882017 6.0183039125075375  2
0.7999155634298388 3.019810430948133  2
0.03052509517412794 4.832517835308363  2
3.7360373706881367 -2.8638163934547625  1
-1.2660520711910332 4.609973356913662  2
-0.041964624729744875 4.990206753548525  2
4.893619051075458 -5.03954472032384  1
0.24185826770347135 5.239951670634253  2
4.980150679913537 -5.00852803584546  1
-5.216306310018167E-4 4.9991958707280615  2
-4.999347751350713 -5.0026743318218765  0
-1.5304262583114858 -7.315389144826838  0
4.863908093411058 -6.217591822054668  1
-3.7208597091129425 -4.462060984909641  0
6.109460034900877 -6.439669576130912  1
-4.64351066742154 -8.177774324720708  0
-6.258771415686584 -3.525285652569817  0
0.047331563131388255 7.585381108464832  2
-4.956761607204634 -2.617341740189974  0
-3.7145739504194175 3.0131296283804803  2
0.0364917564796083 4.994844245903055  2
-5.005433155904586 -5.050504744195243  0
-1.7741964105727335 4.894342904723114  2
3.9530719284625846 -5.438487652551698  1
-5.844432682473944 -1.6247266361683024  0
4.903189095396357 -6.30069084087965  1
3.1104938808549516 -2.1910319854460045  1
-6.985706462844647 -7.688860387248624  0
4.083734034101278 -5.328359486440859  1
0.16745147807905633 4.889441636008153  2
4.173695663799215 -7.355108196702069  1
-5.052551207570808 -4.989388524432357  0
-3.2712176176053385 -3.453645171006005  0
4.891474753940787 -5.065648538608865  1
4.356345637943738 -6.029588711533698  1
5.000008454905208 -5.000005368991483  1
0.13122753518667382 4.9744562784711714  2
-3.045656619076353 -6.800542729797817  0
-4.86276496617184 -5.2104925789740095  0
-0.32207590419006926 4.057541919772052  2
-5.319401648808238 -5.327206772235867  0
-3.4044006312705557 -4.654421418488457  0
-4.474818392524848 -5.746990706677035  0
-3.920397609275718 -5.865789000651992  0
0.3391067335535132 4.990978436490219  2
5.263514491693916 -5.047100385035664  1
0.062476758980233964 5.079396187793415  2
1.2831521525355798 1.2912591824391244  2
-0.0445147151999269 3.7880896805213995  2
4.2585755801127325 -4.812236787081005  1
1.2064649927505633 5.310160585231227  2
-4.369575778159337 -1.9687743783792304  0
-5.003372633499346 -4.990229762003241  0
-0.017613616308352963 5.00217700433338  2
-3.4011485077909414 7.019479438750336  2
6.43862757012713 -4.054911063564255  1
-6.444147652398376 -4.695665005332152  0
-4.8792938455743275 -5.330439175108553  0
-5.146994093710578 -5.236670832009878  0
5.910080758694092 -4.80920139307075  1
2.553658659855145 7.756013092107265  2
-3.4995127237004486 -4.615048300608507  0
-6.047487874343862 -7.573941725553135  0
4.916675552673867 -5.014664320268882  1
4.810835231129754 -4.367842769599466  1
-3.2391628706722573 -3.325579478467853  0
-4.71538002893607 -4.513366514687238  0
-0.7870561815223955 5.080643442619414  2
6.782300190188036 -4.334356433817268  1
-5.022345059910438 -4.966696075955707  0
5.205462202191712 -6.516754961567763  1
-4.840318134510919 -2.011364188065929  0
-0.6149323168662112 5.4614284494437655  2
1.8117490575840427 3.687953500227897  2
-5.120227023566522 -5.17711844079818  0
5.15911782492381 -4.8107014142661395  1
4.420337385141965 -5.344239081462502  1
-3.134129609355519 3.6811119352274524  2
-0.9005305169703781 9.04167149641966  2
5.231876047795757 -5.417135073765851  1
-4.999810204542792 -4.999858013267622  0
5.69280158504865 -6.390020473079868  1
-1.1855484620055878 5.9404473703051925  2
-5.057212259809706 -3.0150604869225397  0
-4.864621460842751 -3.2869055755658065  0
4.7353160937536884 -5.079146585216499  1
-3.520668561785991 -6.0252496922871135  0
4.052550144426049 -3.874075683155853  1
-7.897652867854763 -6.563653424569354  0
0.8636691766355296 3.6186001981326577  2
-6.849509350502506 -5.463894939046874  0
8.036818852367055 -4.16103223632717  1
1.6909310042855856 3.782488657233526  2
0.06552348102082065 4.4564735813192025  2
-4.901169142390619 -5.038211935133569  0
5.327709926066649 -1.9619397151759412  1
-0.3922096383588285 5.409785244025126  2
4.967661271326201 -4.204546393529833  1
5.7486270191731865 -6.527461093220854  1
1.7532864918461246 2.986957017379095  2
-1.5576142883559054 -4.965629189132255  0
4.5493653032375905 -7.140454473753806  1
-4.142003390446993 -5.379530313643542  0
-4.696754191872381 -5.183868154981924  0
-4.999564060428768 -5.00081077836647  0
0.7254662891954107 4.425630456601525  2
-6.361017349543969 -4.210408836218635  0
0.2785658261592712 5.435356225257216  2
-0.008907311548271962 5.027583219302649  2
0.3488167392736383 2.3312272473093896  2
4.899025718815799 -5.0680135136359805  1
4.888595566964464 -5.161288962648602  1
-4.363497492005732 -5.439892013382687  0
1.7056183578826207 2.724678778739728  2
-5.187682275534212 -5.459217453079907  0
-1.701205515435008 6.7682993072898405  2
8.380751685283617 -3.099462665821406  1
-4.770267136279316 -5.277209603360184  0
-3.7489001137251172 -8.912905319673122  0
-0.5687809654330014 4.628716515133364  2
-5.456428600660977 -5.4452501771470425  0
1.8837110402361066 5.5780014070409045  2
5.018457204320747 -4.998546931050959  1
-4.646043251050711 -6.6018469408708125  0
-0.00489261903010749 5.003937131651234  2
7.019973913566036 -7.693687016398764  1
-6.285790319706367 -4.6041915052772415  0
