pos[0]=new Point(-5.0,-5.0);pos[1]=new Point(5.0,-5.0);pos[2]=new Point(0,5.0); while range is 5.5,  the probability of distance i is (i/range)^2*range
300 2 3
-4.997487745677764 -5.010068679240766  0
-6.5540677242855025 -1.600032446810665  0
2.435129554786498 -4.746926262215534  1
-0.9356182224697441 4.972649672758804  2
-7.827511036358985 0.22603344704777495  0
4.276532564570276 2.8614782099517226  2
-5.9382879893774545 -10.423497568824086  0
-4.000920889595081 5.238838651324582  2
-2.55592266645076 5.031088980580451  2
0.06999847306437147 5.343565224499006  2
-3.3623101447201256 -5.295369401422516  0
-8.080507024439234 -5.066478807358017  0
4.617221747028363 -5.221190286660548  1
3.9544948540392655 -2.8539822200034672  1
-0.9384994131246562 5.787588960553201  2
-4.092521365119832 -2.397852136979234  0
-4.545619492383762 -4.9077836681776255  0
-3.0617593874046083 1.7746478275574402  2
7.842171586091852 -3.534582664709906  1
-1.8727915134860673 -2.0941704998166357  0
1.8246548231452584 5.657551275452243  2
-5.075597422555747 -3.5855901414026685  0
-0.08228922416080121 4.966067529221358  2
-0.08177576090336798 5.049748820044943  2
-3.3080366397169554 -1.3154356477751317  0
5.859176427369129 -3.331478082774537  1
-1.5492802852371348 -6.090839009296392  0
2.6111461165150724 1.2137534963227927  2
-5.093490577350172 -5.245527615012765  0
2.6584030425465826 3.209199950883163  2
-0.03866427096833595 5.02581886988645  2
1.7548645929779307 -2.4092583439054778  1
-2.6907753713317235 9.37440221745777  2
5.010000054393995 -4.993040121715631  1
5.016358431970528 -5.443209009687519  1
7.572254179509997 -3.4155218781622887  1
-5.080146189987042 -4.077287835806115  0
0.048519707057369646 4.990581517174715  2
0.685631293837771 4.7753501441581605  2
-5.264737462928786 -6.941207742198175  0
0.5973806585032682 -3.1602680601153823  0
0.14871863551932912 4.215840799711677  2
-0.083422984325286 5.111142303670177  2
4.801039589265105 -7.024207109990742  1
5.111995238342446 -5.659699180085672  1
-0.28784344455067756 5.388657875464447  2
-3.0701216595695637 -5.667703485989538  0
-5.983736166456861 -7.498820664583151  0
0.8468828193708633 7.792159395254526  2
-5.929597945564067 -10.924402378022652  0
-5.001487396998154 -4.991684048221876  0
-0.09960119196050073 5.240568159761378  2
2.758070165636557 5.039984062889521  2
8.339757741335394 -5.0610859485392625  1
-1.5305770248230006 -3.355749701999809  0
-4.884939760863323 -5.17248029675666  0
-1.0332003712768631 4.876422722874998  2
-4.993212733636252 -2.0770101775851275  0
4.6589689410146145 -9.67884107929713  1
-4.509943043846661 1.9266488902501808  2
5.403351920654487 -4.879257673585536  1
-2.8030795459824187 -5.496155033052649  0
4.937154821365472 -5.000029722159384  1
4.272778783031625 6.838705780859378  2
-8.310959023449096 -8.890498357930461  0
5.379945952195293 5.771030556005527  2
7.918557504508534 -8.620380790991259  1
-5.968889789333051 -3.739542873827866  0
-5.458288427196999 -2.860856437284138  0
4.864184224714013 -6.693466728029281  1
4.390997503263069 -4.482660004034532  1
1.2994760774644383 -3.860455281584394  1
-10.466095360387087 -2.5377453141936592  0
0.41419087597856674 4.975041968361272  2
5.385583073063744 -5.362355351131122  1
4.296222000999418 -4.189683383293237  1
-4.9159728074055264 -5.106639935278121  0
0.04686082209765985 4.953414910876533  2
-6.959199541054 0.37529061846570144  0
9.968777405759845 -5.6741671965896385  1
4.100664624892333 8.109171254619602  2
0.1767056271160101 5.28183760651323  2
-0.5490804610289978 0.7449298204774264  2
-4.258014651989107 -4.307042899199491  0
-7.16799193907824 -4.4283776338343905  0
6.9199609271102895 -8.305098735058657  1
-4.899561366806769 -4.960097204754801  0
-5.648741686945764 -5.118145491142132  0
4.559111721778035 -5.166256965034116  1
5.666010407307623 -3.8213054532724664  1
0.8122776665314516 3.851842192622525  2
-2.1340088612466053 4.636189365518331  2
3.5228671152933053 -4.942568056933066  1
-0.3840029069132127 -7.492020398384493  0
-8.965368497914309 -4.74490862235189  0
-0.002398151910461243 5.040967879480246  2
2.5389367134012266 7.437323855229559  2
-3.1627788330937117 -5.891576713731914  0
-5.037647613043661 -4.687407440321255  0
-1.8598559291417311 -0.3906686941294879  2
9.713475486486887 -4.127218938400764  1
-0.029055747522167427 4.671185384013812  2
4.999974865396222 -5.000253619747335  1
7.307864569044508E-4 6.036839012827867  2
-0.4605198140740613 4.862092717239496  2
3.780209091746263 -0.7782457804150136  1
3.4644583877695077 -5.799738419863218  1
-0.007470559356157118 4.976187370797414  2
-4.618361282467353 -5.134195513516577  0
-4.411090342004623 -5.772721649601288  0
5.025641824265169 -5.009910906355625  1
-5.25816949806438 -4.805875810517513  0
-3.146147212710332 -6.353555313528469  0
-0.11632502337823744 7.386296316262  2
-5.151953994712405 -4.96151021790595  0
-5.02732044786927 -4.987081059942963  0
4.715729884048829 -5.039480927594126  1
0.018785249749552733 4.926541363583443  2
4.326395061147593 -4.053697806704216  1
10.176963714180435 -4.994392567907409  1
-3.529037868529821 -1.6256597166482214  0
0.3601467315765516 4.711232989978322  2
4.8514202931568615 -5.328972891870879  1
5.922067650733902 -5.458764434206375  1
-4.663355936857345 -4.912617074524216  0
-1.946866844730503 0.031063922019466617  2
4.568420636967734 -7.901246763988795  1
3.3042442206366998 -5.763992747687861  1
-0.06657257203510802 -8.047596314670434  0
-5.210060584699151 -4.987509926753742  0
-5.880933807089089 -2.7041617660816457  0
4.606554888988094 -8.261815133912071  1
8.223253649800867 -8.65088480790202  1
-6.429870498268406 -5.131883136711553  0
4.490483006245603 -7.934835619711762  1
-4.9998584966212585 -4.750116800576439  0
-3.255396723950038 1.7742374105015255  2
-3.3108900594841817 -8.898491322491806  0
4.542484404707065 -6.577054531444107  1
-3.8406465103826832 -8.044903823871989  0
-3.3008613848046005 -6.162909931567557  0
5.390890714944964 -5.793229142702656  1
6.929745058348167 -0.23848706515356177  1
-4.966427712081758 -4.718356229408965  0
-7.898983314907438 -2.5718634787085084  0
-0.16790895700902397 5.071725832466922  2
-2.5391113245514445 -4.748338776625176  0
-5.550889651554776 -6.079702031977675  0
-1.0699988886847527 2.4447975065081033  2
-5.017772198204324 -5.038989690717946  0
-0.004530551036912878 4.9963860862956135  2
0.15918859186839412 5.0740044159740085  2
2.4408235865820216 3.5799540941720283  2
-4.148422187080158 2.370278612576885  2
6.5090378459257945 -7.709263847398453  1
-8.154906844210256 -1.9255667382093389  0
5.171701447823735 -5.055586167919141  1
-3.324325486549095 -3.2138695371241655  0
1.189994409070609 5.860102698054546  2
4.386975584143153 -8.83472502449079  1
-3.948764149408813 -1.9972612086561679  0
2.362195635283389 -5.224065975408095  1
-3.014196121968527 5.177830773808335  2
5.130910106939905 -4.74400128901554  1
5.181070711509506 -4.894738237638201  1
-6.714960882231134 -4.644378250634142  0
0.25850358903168424 4.282563690510438  2
4.979038024557849 -4.961588049339038  1
7.968677023956539 -6.985440463615378  1
5.0067546021806555 -5.028453394312105  1
2.190358215941489 9.037973162849237  2
1.8024531788088292 5.349550388330167  2
0.07567259157400318 4.8013807298741495  2
-0.7323072828098783 5.466443003657337  2
-4.442675821172637 -5.090229162382098  0
-5.011250586062999 -4.97827314987534  0
-3.056340036700452 3.8769504594010535  2
-4.751834308794546 -5.249354304327646  0
6.812976489482416 -5.7321858141408715  1
2.903618828430331 2.4313985582964803  2
-7.400403405442324 0.2300399474562571  0
-0.5871714673275736 6.165172370684394  2
-0.2884450897886171 5.677700779264921  2
3.513691464568228 -5.659467773300772  1
4.845174456337726 -5.019951604006281  1
0.7750395583072667 5.338699583327733  2
-2.736622645341924 9.193970248505089  2
-5.770171669198304 -2.5384554871640015  0
0.27970506850371724 -5.2322655922374395  0
-0.7647831905650976 4.319521369589428  2
